ID,Статус,USDT,TON,Валюта,Продукт,BSC адрес,TON адрес,TX Hash,Дата
FT-TF58IABB8F82,waiting,500,,usdt,,0xde363b15ebb41fb61928274f3b4c1d55bee6d377,,,2026-05-16T18:54:10.126Z
FT-TF58F346D1F5,waiting,500,,usdt,,0xde363b15ebb41fb61928274f3b4c1d55bee6d377,,,2026-05-16T18:52:15.262Z
FT-TF58B93ACABD,waiting,500,,usdt,,0xde363b15ebb41fb61928274f3b4c1d55bee6d377,,,2026-05-16T18:49:57.740Z
FT-TF589DC64696,waiting,500,,usdt,,0xde363b15ebb41fb61928274f3b4c1d55bee6d377,,,2026-05-16T18:48:49.548Z
FT-TF587YD1B46B,waiting,965,1.929192,ton,,0xde363b15ebb41fb61928274f3b4c1d55bee6d377,,,2026-05-16T18:47:58.216Z
FT-TF586U57A91B,waiting,500,,usdt,,0xde363b15ebb41fb61928274f3b4c1d55bee6d377,,,2026-05-16T18:47:18.270Z
FT-TF57Z2EE679A,waiting,965,1.929771,ton,,0xde363b15ebb41fb61928274f3b4c1d55bee6d377,,,2026-05-16T18:42:38.560Z
FT-TF57XW14A5CC,waiting,500,,usdt,,0xde363b15ebb41fb61928274f3b4c1d55bee6d377,,,2026-05-16T18:41:56.956Z
FT-TF57WI2992AD,waiting,1250,2.499905,ton,,0x3901dc24aD0aB356956C1b413287b302EE73EC4C,,,2026-05-16T18:41:06.864Z
FT-TF56G32957F0,paid,1500,2.999098,ton,,0x6bCC4CF702931b12a0b3f9eaBDE6019b60d6D5c9,,0x72ff36686cd90b7c41190f270ad07b0585de15b4836b79d696d763261554259e,2026-05-16T18:09:39.211Z
FT-TF540J81B602,paid,644,1.287897,ton,,0x1E161596649776C2D5dA10F0e31340AF82b4e9E8,,0x33150c06e542d4b447cbc537769eabfe948ec7df37737483a61db1991d44f068,2026-05-16T17:17:07.939Z
FT-TF53NV07BBBF,paid,2625,5.249701,ton,,0x7c5913448475a48B4e0a4d968E20f09940fDb69C,,0x4c2ef0e7b5093181c74fbdaddad45405b0105221606fa4511d424010f16089aa,2026-05-16T17:09:31.671Z
FT-TF53LL7B7451,paid,644,1.288139,ton,,0x35fe1e0C957e4c7c7c348A39d69f7e3aAb648145,,0x9a0049ac25812543250a2d4a2eb4cf9d19d8e43112bdc8a82c6fa53fafba8fe8,2026-05-16T17:08:09.260Z
FT-TF4X3GA1230D,paid,651,1.301668,ton,,0x7023598fF77d9ccac635514614B0C4dF7eCe4b3A,,0x2e1cb5cfb8ddd1f7d5912d7cd46d683c7c50b24d86ebfabdd6d80886b3d87ae6,2026-05-16T14:47:40.712Z
